FamilyName	StyleName	xHeight	CapHeight	Weight	Contrast	Lesser Thickness Slope	Superior Overshooting	Inferior Overshooting	Ascenders	Descenders	n Expansion	o Expansion	n/o Ratio	O Expansion	R Expansion	R/O Ratio	AltezzaMassimaH	PuntoMedioAstaOrizzontaleH	PuntoMedioAstaVerticaleT	AggettoSinistroT	AggettoDestroT	SimmetriaAggettiT	o Average Squaring	o Internal Squaring	o External Squaring	Bezier	Grazie	Spacing
Fedra Mono	Normal	546	1.2949	0.1905	0.8	-9	0.0238	0.0183	1.4175	-0.2088	0.6126	0.6722	0.91	0.6795	0.63	0.93	707	0.5021	0.5	193	193	False	0.6685	0.6785	0.6585	curve	Serif	Mono
Fedra Sans	Bold Condensed	546	1.2949	0.2747	0.87	1	0.0256	0.022	1.4139	-0.2088	0.4734	0.5165	0.92	0.761	0.4872	0.64	707	0.5028	0.5	157	157	False	0.6417	0.6565	0.6269	curve	Sans	Proportional
Fedra Sans	Book Condensed	546	1.2949	0.1392	0.88	-14	0.022	0.0165	1.4175	-0.2088	0.467	0.5366	0.87	0.8095	0.4872	0.6	707	0.5021	0.5012	172	171	True	0.6297	0.6257	0.6336	curve	Sans	Proportional
Fedra Sans	Demi Condensed	546	1.2949	0.1795	0.88	-11	0.0238	0.0183	1.4175	-0.2088	0.4698	0.5311	0.88	0.7949	0.4872	0.61	707	0.5021	0.5	167	167	False	0.6338	0.6356	0.6319	curve	Sans	Proportional
Fedra Sans	Light Condensed	546	1.2949	0.1044	0.89	-11	0.022	0.0147	1.4194	-0.2088	0.4661	0.5412	0.86	0.8223	0.4872	0.59	707	0.5021	0.5013	176	175	True	0.6289	0.6227	0.635	curve	Sans	Proportional
Fedra Sans	Medium Condensed	546	1.2949	0.2234	0.88	-3	0.0238	0.0201	1.4157	-0.2088	0.4716	0.5238	0.9	0.7793	0.4872	0.63	707	0.5028	0.5	162	163	False	0.6374	0.6453	0.6295	curve	Sans	Proportional
Fedra Sans	Bold	546	1.2949	0.3059	0.78	-4	0.0256	0.022	1.4304	-0.2106	0.6621	0.7289	0.91	1.0705	0.6868	0.64	707	0.5028	0.5	222	222	False	0.6596	0.6908	0.6285	curve	Sans	Proportional
Fedra Sans	Book	546	1.2949	0.1447	0.79	-11	0.0256	0.022	1.4212	-0.2115	0.6612	0.7555	0.88	1.1465	0.6868	0.6	707	0.5021	0.5	241	241	False	0.6341	0.6378	0.6303	curve	Sans	Proportional
Fedra Sans	Light	546	1.2949	0.1007	0.8	-8	0.0256	0.022	1.4194	-0.2115	0.6612	0.7628	0.87	1.1658	0.6859	0.59	707	0.5021	0.5	247	247	False	0.6298	0.6286	0.6309	curve	Sans	Proportional
Fedra Sans	Medium	546	1.2949	0.2436	0.78	-2	0.0256	0.022	1.4267	-0.2106	0.6621	0.739	0.9	1.0998	0.6868	0.62	707	0.5021	0.5	229	229	False	0.6466	0.6638	0.6294	curve	Sans	Proportional
